学号	课程班级
20606091915	22级919教技班
20606091916	22级919教技班
20606091917	22级919教技班
20606091919	22级919教技班
20606091922	22级919教技班
20606091925	22级919教技班
20606091926	22级919教技班
20606091930	22级919教技班
20606091931	22级919教技班
20606091932	22级919教技班
20606091937	22级919教技班
20606091943	22级919教技班
20606091944	22级919教技班
20606091948	22级919教技班
20607092001	22级920音乐班
20607092005	22级920音乐班
20607092006	22级920音乐班
20607092007	22级920音乐班
20607092008	22级920音乐班
20607092009	22级920音乐班
20607092010	22级920音乐班
20607092011	22级920音乐班
20607092016	22级920音乐班
20607092018	22级920音乐班
20607092020	22级920音乐班
20607092022	22级920音乐班
20607092023	22级920音乐班
20607092026	22级920音乐班
20607092028	22级920音乐班
20607092031	22级920音乐班
20607092033	22级920音乐班
20607092035	22级920音乐班
20607092036	22级920音乐班
20607092038	22级920音乐班
20607092039	22级920音乐班
20607092042	22级920音乐班
20607092043	22级920音乐班
20607092045	23级962音乐班
20607092046	22级920音乐班
20607092047	22级920音乐班
20607092048	22级920音乐班
20607092101	22级921音乐班
20607092104	22级921音乐班
20607092107	22级921音乐班
20607092111	22级921音乐班
20607092113	22级921音乐班
20607092114	22级921音乐班
20607092115	22级921音乐班
20607092117	22级921音乐班
20607092118	22级921音乐班
20607092119	22级921音乐班
20607092120	22级921音乐班
20607092124	22级921音乐班
20607092126	22级921音乐班
20607092130	22级921音乐班
20607092132	22级921音乐班
20607092142	22级921音乐班
20607092143	22级921音乐班
20607092144	22级921音乐班
20607092145	22级921音乐班
20607092146	22级921音乐班
20607092148	22级921音乐班
20608092205	22级初招美术1B班
20608092207	22级初招美术1A班
20608092219	22级初招美术1A班
20608092222	22级初招美术1A班
20608092224	22级初招美术1C班
20608092226	22级初招美术1B班
20608092227	22级初招美术1C班
20608092232	22级初招美术1B班
20608092235	22级初招美术1B班
20608092237	22级初招美术1A班
20608092241	22级初招美术1B班
20608092242	22级初招美术1C班
20608092244	22级初招美术1B班
20608092307	22级初招美术1B班
20608092308	22级初招美术1C班
20608092312	22级初招美术1A班
20608092314	22级初招美术1C班
20608092316	22级初招美术1B班
20608092317	22级初招美术1C班
20608092323	23级初招美术1A班
20608092327	22级初招美术1C班
20608092330	22级初招美术1C班
20608092332	22级初招美术1B班
20608092334	22级初招美术1A班
20608092335	22级初招美术1B班
20608092338	22级初招美术1B班
20608092340	23级初招美术1B班
20608092341	22级初招美术1A班
20608092342	22级初招美术1B班
20608092343	22级初招美术1C班
20608092344	22级初招美术1A班
20609092402	22级初招健美球班
20609092408	22级初招健美球班
20609092409	22级初招武术班
20609092415	22级初招武术班
20609092417	22级初招武术班
20609092421	22级初招武术班
20609092425	22级初招足球班
20609092430	22级初招篮球班
20609092433	22级初招武术班
20609092434	22级初招篮球班
20609092435	22级初招篮球班
20609092436	22级初招武术班
20609092441	22级初招武术班
20609092443	22级初招篮球班
20609092444	22级初招足球班
20609092446	22级初招武术班
20609092501	22级初招篮球班
20609092512	22级初招武术班
20609092519	22级初招篮球班
20609092524	22级初招篮球班
20609092525	22级初招篮球班
20609092526	22级初招篮球班
20609092527	22级初招足球班
20609092528	22级初招篮球班
20609092529	22级初招篮球班
20609092530	22级初招篮球班
20609092533	22级初招篮球班
20609092535	22级初招武术班
20609092537	22级初招武术班
20609092538	22级初招健美球班
20609092540	22级初招篮球班
20609092541	23级966体育班
20609092542	22级初招篮球班
20609092543	22级初招武术班
20610092602	22级933小教理5班
20610092607	22级927小教文2班
20610092620	22级933小教理5班
20610092622	22级928小教文3班
20610092624	22级931小教理3班
20610092629	22级933小教理5班
20610092630	23级967小教文1班
20610092633	22级927小教文2班
20610092638	22级933小教理5班
20610092645	22级931小教理3班
20610092708	22级933小教理5班
20610092710	22级928小教文3班
20610092713	23级967小教文1班
20610092714	22级927小教文2班
20610092717	22级926小教文1班
20610092719	22级927小教文2班
20610092720	22级930小教理2班
20610092722	22级929小教理1班
20610092729	23级968小教文2班
20610092738	22级926小教文1班
20610092741	22级929小教理1班
20610092743	22级928小教文3班
20610092801	22级933小教理5班
20610092803	22级929小教理1班
20610092805	22级931小教理3班
20610092810	22级931小教理3班
20610092812	22级931小教理3班
20610092820	22级932小教理4班
20610092822	22级929小教理1班
20610092823	22级929小教理1班
20610092825	22级933小教理5班
20610092826	22级929小教理1班
20610092832	22级930小教理2班
20610092835	22级933小教理5班
20610092837	22级927小教文2班
20610092840	22级929小教理1班
20610092841	23级971小教理3班
20610092843	22级933小教理5班
20610092844	22级933小教理5班
20610092847	22级929小教理1班
20610092903	22级926小教文1班
20610092908	22级933小教理5班
20610092910	22级930小教理2班
20610092911	22级931小教理3班
20610092915	22级933小教理5班
20610092917	22级927小教文2班
20610092920	22级933小教理5班
20610092922	22级933小教理5班
20610092926	22级930小教理2班
20610092928	22级927小教文2班
20610092929	22级929小教理1班
20610092931	22级926小教文1班
20610092933	22级929小教理1班
20610092936	22级933小教理5班
20610092939	22级928小教文3班
20610092942	22级930小教理2班
20610092944	22级931小教理3班
20610092947	22级927小教文2班
20610093001	22级929小教理1班
20610093003	22级928小教文3班
20610093007	22级930小教理2班
20610093008	22级929小教理1班
20610093010	22级931小教理3班
20610093011	22级932小教理4班
20610093012	22级927小教文2班
20610093014	22级929小教理1班
20610093016	22级929小教理1班
20610093018	22级928小教文3班
20610093019	22级931小教理3班
20610093020	22级933小教理5班
20610093022	22级931小教理3班
20610093023	22级933小教理5班
20610093025	22级929小教理1班
20610093029	22级927小教文2班
20610093032	22级927小教文2班
20610093033	22级929小教理1班
20610093035	22级933小教理5班
20610093036	22级929小教理1班
20610093040	23级967小教文1班
20610093041	22级927小教文2班
20610093044	22级928小教文3班
20610093102	22级932小教理4班
20610093110	22级931小教理3班
20610093112	22级926小教文1班
20610093117	22级927小教文2班
20610093119	22级932小教理4班
20610093122	22级928小教文3班
20610093126	22级933小教理5班
20610093138	22级930小教理2班
20610093139	22级930小教理2班
20610093140	22级932小教理4班
20610093141	22级933小教理5班
20610093143	22级927小教文2班
20610093147	22级932小教理4班
20610093201	22级932小教理4班
20610093203	22级927小教文2班
20610093210	22级926小教文1班
20610093216	22级930小教理2班
20610093222	22级930小教理2班
20610093223	22级933小教理5班
20610093224	22级932小教理4班
20610093230	22级932小教理4班
20610093231	22级933小教理5班
20610093242	22级933小教理5班
20610093304	22级928小教文3班
20610093306	22级927小教文2班
20610093309	22级926小教文1班
20610093313	22级929小教理1班
20610093325	22级932小教理4班
20610093329	22级933小教理5班
20610093330	22级929小教理1班
20610093331	22级930小教理2班
20610093332	22级932小教理4班
